start_date,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,list,block,phase,item,sensibility,concreteness,type,direction,text,correct_response,correct_response_2,correct,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,consent
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,instructions,canvas.Screen,0,end_instructions,keypress(Space),response,87622.44,2111,2126.34,2142.56,89765,89771,2020-11-18T12:04:49Z,89807.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1.1,https://focused-wilson-356124.netlify.app/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.16; rv:82.0) Gecko/20100101 Firefox/82.0,MacIntel,en-GB,en-GB,Europe/London,0,1920,1080,770,600,770,600,1,production,c48ac4ada3769e8d34489594ab03097d5f256ac7,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,1_0_0,end_fixation,keypress(Space),response,1670.0399999999936,89772,89772.88,89807.96,91478,91481,2020-11-18T12:04:50Z,91508.24,NA,NA,prac,2,sensible,concrete,no_transfer,NA,You read the email with Ian.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,1_0_1,w,keypress(w),response,500.75999999999476,91481,91482.08,91508.24,92009,92013,2020-11-18T12:04:51Z,92041.56,NA,NA,prac,2,sensible,concrete,no_transfer,NA,You read the email with Ian.,w,w,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,1_0,NA,NA,completion,2201.0399999999936,89772,89772.88,89807.96,92009,92014,2020-11-18T12:04:51Z,92041.56,NA,NA,prac,2,sensible,concrete,no_transfer,NA,You read the email with Ian.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,1_1_0,end_fixation,keypress(Space),response,223.44000000000233,92014,92015,92041.56,92265,92269,2020-11-18T12:04:51Z,92308.22,NA,NA,prac,4,nonsense,NA,no_transfer,NA,Joe drank the danger with you.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,1_1_1,w,keypress(w),response,880.7799999999988,92269,92269.88,92308.22,93189,93193,2020-11-18T12:04:52Z,93224.96,NA,NA,prac,4,nonsense,NA,no_transfer,NA,Joe drank the danger with you.,s,s,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,1_1,NA,NA,completion,1147.4400000000023,92014,92015,92041.56,93189,93193,2020-11-18T12:04:52Z,93224.96,NA,NA,prac,4,nonsense,NA,no_transfer,NA,Joe drank the danger with you.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,fixation_cross,canvas.Screen,1_2_0,end_fixation,keypress(Space),response,228.0399999999936,93193,93194.3,93224.96,93453,93457,2020-11-18T12:04:52Z,93491.52,NA,NA,prac,1,sensible,concrete,transfer,towards,You gave the news article to Ben.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,sentence_screen,canvas.Screen,1_2_1,w,keypress(w),response,193.47999999999593,93457,93458,93491.52,93685,93688,2020-11-18T12:04:53Z,93725.24,NA,NA,prac,1,sensible,concrete,transfer,towards,You gave the news article to Ben.,w,w,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,IP Address,151.228.161.246,100,155,TRUE,2020-11-18T05:05:49Z,R_3fCqQko0KQrT4Wz,NA,NA,NA,NA,54.98809814453125,-1.6194000244140625,anonymous,EN,trial,flow.Sequence,1_2,NA,NA,completion,460.0399999999936,93193,93194.3,93224.96,93685,93689,2020-11-18T12:04:53Z,93725.24,NA,NA,prac,1,sensible,concrete,transfer,towards,You gave the news article to Ben.,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
